Sales Agent,Total Revenue
Darcel Schlecht,1153214.0
Vicki Laflamme,478396.0
Kary Hendrixson,454298.0
Cassey Cress,450489.0
Donn Cantrell,445860.0
Reed Clapper,438336.0
Zane Levy,430068.0
Corliss Cosme,421036.0
James Ascencio,413533.0
Daniell Hammack,364229.0
Maureen Marcano,350395.0
Gladys Colclough,345674.0
Markita Hansen,328792.0
Kami Bicknell,316456.0
Marty Freudenburg,291195.0
Elease Gluck,289195.0
Jonathan Berthelot,284886.0
Anna Snelling,275056.0
Hayden Neloms,272111.0
Boris Faz,261631.0
Rosalina Dieter,235403.0
Rosie Papadopoulos,230169.0
Cecily Lampkin,229800.0
Moses Frase,207182.0
Garret Kinder,197773.0
Lajuana Vencill,194632.0
Versie Hillebrand,187693.0
Niesha Huffines,176961.0
Wilburn Farren,157640.0
Violet Mclelland,123431.0
