sales_agent,product,account,deal_stage,engage_date,close_date,close_value
Moses Frase,GTX Plus Basic,Cancity,Won,2016-10-20,2017-03-01,1054.0
Darcel Schlecht,GTXPro,Isdom,Won,2016-10-25,2017-03-11,4514.0
Darcel Schlecht,MG Special,Cancity,Won,2016-10-25,2017-03-07,50.0
Moses Frase,GTX Basic,Codehow,Won,2016-10-25,2017-03-09,588.0
Zane Levy,GTX Basic,Hatfan,Won,2016-10-25,2017-03-02,517.0
Anna Snelling,MG Special,Ron-tech,Won,2016-10-29,2017-03-01,49.0
Vicki Laflamme,MG Special,J-Texon,Won,2016-10-30,2017-03-02,57.0
Markita Hansen,GTX Basic,Cheers,Won,2016-11-01,2017-03-07,601.0
Niesha Huffines,GTX Plus Basic,Zumgoity,Won,2016-11-01,2017-03-03,1026.0
James Ascencio,MG Advanced,unknown,Engaging,2016-11-03,,472.0
Anna Snelling,MG Special,Bioholding,Won,2016-11-04,2017-03-10,53.0
Gladys Colclough,GTXPro,Genco Pura Olive Oil Company,Lost,2016-11-04,2017-03-18,0.0
James Ascencio,GTX Plus Pro,Sunnamplex,Won,2016-11-04,2017-03-10,5169.0
Maureen Marcano,GTX Plus Pro,Sonron,Won,2016-11-04,2017-03-06,4631.0
Hayden Neloms,MG Advanced,Finjob,Won,2016-11-05,2017-03-11,3393.0
Rosalina Dieter,MG Special,Sonron,Lost,2016-11-05,2017-03-03,0.0
Rosalina Dieter,MG Advanced,Scotfind,Won,2016-11-05,2017-03-06,3284.0
Versie Hillebrand,MG Special,Treequote,Won,2016-11-06,2017-03-05,61.0
Daniell Hammack,GTXPro,Xx-zobam,Lost,2016-11-07,2017-03-09,0.0
Elease Gluck,MG Special,Rantouch,Won,2016-11-07,2017-03-08,46.0
James Ascencio,GTX Plus Pro,Fasehatice,Lost,2016-11-07,2017-03-17,0.0
Moses Frase,MG Special,Ron-tech,Won,2016-11-07,2017-03-18,50.0
Violet Mclelland,GTX Plus Basic,Vehement Capital Partners,Won,2016-11-07,2017-03-11,1014.0
Darcel Schlecht,GTX Basic,Warephase,Won,2016-11-08,2017-03-26,561.0
Kami Bicknell,GTX Basic,Zoomit,Won,2016-11-10,2017-03-23,590.0
Maureen Marcano,MG Advanced,Ganjaflex,Engaging,2016-11-10,,472.0
Versie Hillebrand,MG Special,Bioholding,Won,2016-11-10,2017-03-12,61.0
Violet Mclelland,GTX Plus Pro,Xx-zobam,Lost,2016-11-10,2017-03-11,0.0
Elease Gluck,MG Special,Cheers,Won,2016-11-11,2017-03-05,58.0
Maureen Marcano,GTXPro,Labdrill,Won,2016-11-11,2017-03-14,4899.0
Rosie Papadopoulos,MG Advanced,Zotware,Lost,2016-11-11,2017-03-01,0.0
Versie Hillebrand,MG Special,dambase,Won,2016-11-11,2017-03-03,67.0
James Ascencio,GTXPro,Xx-holding,Won,2016-11-12,2017-03-06,4338.0
Kary Hendrixson,GTX Basic,Fasehatice,Won,2016-11-12,2017-03-19,578.0
Reed Clapper,GTX Basic,Acme Corporation,Won,2016-11-12,2017-03-01,556.0
Rosalina Dieter,GTX Basic,Green-Plus,Won,2016-11-12,2017-03-03,635.0
Wilburn Farren,MG Advanced,The New York Inquirer,Won,2016-11-12,2017-03-07,3045.0
Garret Kinder,GTX Plus Basic,Mathtouch,Won,2016-11-13,2017-03-14,1233.0
Versie Hillebrand,MG Special,Zumgoity,Won,2016-11-13,2017-03-09,60.0
Anna Snelling,MG Special,Gogozoom,Lost,2016-11-14,2017-03-30,0.0
Darcel Schlecht,GTX Basic,Stanredtax,Lost,2016-11-14,2017-03-08,0.0
