opportunity_id,sales_agent,product,account,deal_stage,engage_date,close_date,close_value
1c1i7a6r,moses_frase,gtx_plus_basic,cancity,won,2016-10-20,2017-03-01,1054.0
z063oyw0,darcel_schlecht,gtxpro,isdom,won,2016-10-25,2017-03-11,4514.0
ec4qe1bx,darcel_schlecht,mg_special,cancity,won,2016-10-25,2017-03-07,50.0
mv1lwrnh,moses_frase,gtx_basic,codehow,won,2016-10-25,2017-03-09,588.0
pe84cx4o,zane_levy,gtx_basic,hatfan,won,2016-10-25,2017-03-02,517.0
znbs69v1,anna_snelling,mg_special,ron-tech,won,2016-10-29,2017-03-01,49.0
9me3374g,vicki_laflamme,mg_special,j-texon,won,2016-10-30,2017-03-02,57.0
7gn8q4ll,markita_hansen,gtx_basic,cheers,won,2016-11-01,2017-03-07,601.0
olk9lkzb,niesha_huffines,gtx_plus_basic,zumgoity,won,2016-11-01,2017-03-03,1026.0
haxmc4ix,james_ascencio,mg_advanced,hottechi,engaging,2016-11-03,2017-05-22,472.0
nl3jzh1z,anna_snelling,mg_special,bioholding,won,2016-11-04,2017-03-10,53.0
kwva7vr1,gladys_colclough,gtxpro,genco_pura_olive_oil_company,lost,2016-11-04,2017-03-18,0.0
s8dx3xou,james_ascencio,gtx_plus_pro,sunnamplex,won,2016-11-04,2017-03-10,5169.0
enb2xd8g,maureen_marcano,gtx_plus_pro,sonron,won,2016-11-04,2017-03-06,4631.0
09ye9qov,hayden_neloms,mg_advanced,finjob,won,2016-11-05,2017-03-11,3393.0
3f5mzneh,rosalina_dieter,mg_special,sonron,lost,2016-11-05,2017-03-03,0.0
m6wejxc0,rosalina_dieter,mg_advanced,scotfind,won,2016-11-05,2017-03-06,3284.0
6ptr7vbr,versie_hillebrand,mg_special,treequote,won,2016-11-06,2017-03-05,61.0
902redpa,daniell_hammack,gtxpro,xx-zobam,lost,2016-11-07,2017-03-09,0.0
5j9cmgdv,elease_gluck,mg_special,rantouch,won,2016-11-07,2017-03-08,46.0
jjxrr8r6,james_ascencio,gtx_plus_pro,fasehatice,lost,2016-11-07,2017-03-17,0.0
wf4ha5nw,moses_frase,mg_special,ron-tech,won,2016-11-07,2017-03-18,50.0
c5k2jp1h,violet_mclelland,gtx_plus_basic,vehement_capital_partners,won,2016-11-07,2017-03-11,1014.0
adrb8omb,darcel_schlecht,gtx_basic,warephase,won,2016-11-08,2017-03-26,561.0
sbcr987l,kami_bicknell,gtx_basic,zoomit,won,2016-11-10,2017-03-23,590.0
up409dsb,maureen_marcano,mg_advanced,ganjaflex,engaging,2016-11-10,2017-05-22,472.0
jsd4apt2,versie_hillebrand,mg_special,bioholding,won,2016-11-10,2017-03-12,61.0
ao9z2d17,violet_mclelland,gtx_plus_pro,xx-zobam,lost,2016-11-10,2017-03-11,0.0
5m58dtjk,elease_gluck,mg_special,cheers,won,2016-11-11,2017-03-05,58.0
kny1osab,maureen_marcano,gtxpro,labdrill,won,2016-11-11,2017-03-14,4899.0
eazduum9,rosie_papadopoulos,mg_advanced,zotware,lost,2016-11-11,2017-03-01,0.0
2stusofe,versie_hillebrand,mg_special,dambase,won,2016-11-11,2017-03-03,67.0
jykm0b00,james_ascencio,gtxpro,xx-holding,won,2016-11-12,2017-03-06,4338.0
ku28360j,kary_hendrixson,gtx_basic,fasehatice,won,2016-11-12,2017-03-19,578.0
n4sd17jr,reed_clapper,gtx_basic,acme_corporation,won,2016-11-12,2017-03-01,556.0
e67p9y3q,rosalina_dieter,gtx_basic,green-plus,won,2016-11-12,2017-03-03,635.0
at3mmvis,wilburn_farren,mg_advanced,the_new_york_inquirer,won,2016-11-12,2017-03-07,3045.0
rej11lry,garret_kinder,gtx_plus_basic,mathtouch,won,2016-11-13,2017-03-14,1233.0
erv0caz7,versie_hillebrand,mg_special,zumgoity,won,2016-11-13,2017-03-09,60.0
8soqadk7,anna_snelling,mg_special,gogozoom,lost,2016-11-14,2017-03-30,0.0
tchft25b,darcel_schlecht,gtx_basic,stanredtax,lost,2016-11-14,2017-03-08,0.0
czvn09wn,darcel_schlecht,gtx_plus_basic,konmatfix,won,2016-11-14,2017-03-20,1170.0
eg7oflfr,kami_bicknell,gtx_basic,hottechi,engaging,2016-11-14,2017-05-22,472.0
30uqwukb,marty_freudenburg,gtx_plus_basic,genco_pura_olive_oil_company,won,2016-11-15,2017-03-20,1162.0
olvi7l8m,cassey_cress,gtxpro,hottechi,engaging,2016-11-16,2017-05-22,472.0
97un20yy,darcel_schlecht,mg_advanced,conecom,won,2016-11-16,2017-03-14,3725.0
jxlerz9o,kary_hendrixson,gtx_basic,golddex,won,2016-11-16,2017-03-31,559.0
6roe69w5,rosalina_dieter,gtx_basic,plexzap,lost,2016-11-16,2017-03-11,0.0
0dfxfkt7,darcel_schlecht,gtx_plus_basic,rundofase,lost,2016-11-17,2017-03-21,0.0
xkmzvsn4,james_ascencio,gtx_plus_pro,sonron,won,2016-11-17,2017-03-05,4667.0
iu8v0bzk,marty_freudenburg,gtx_plus_basic,finhigh,won,2016-11-17,2017-03-17,903.0
xy42936p,maureen_marcano,gtx_plus_basic,finjob,won,2016-11-17,2017-03-13,1180.0
xrn54mbm,niesha_huffines,gtx_basic,ron-tech,won,2016-11-17,2017-03-05,487.0
2v848wzd,lajuana_vencill,mg_advanced,stanredtax,won,2016-11-18,2017-03-04,3180.0
onyntucg,darcel_schlecht,gtxpro,funholding,lost,2016-11-19,2017-03-17,0.0
hiohx80y,darcel_schlecht,mg_advanced,gogozoom,won,2016-11-19,2017-03-18,3563.0
f5u1acdd,kami_bicknell,gtx_plus_basic,hottechi,engaging,2016-11-19,2017-05-22,472.0
lpkt07pv,boris_faz,gtxpro,opentech,won,2016-11-20,2017-03-23,4704.0
wpb2slig,donn_cantrell,gtx_plus_pro,silis,won,2016-11-20,2017-03-14,5585.0
xusueav7,elease_gluck,gtk_500,zoomit,won,2016-11-20,2017-03-09,25897.0
zzy4516r,hayden_neloms,mg_advanced,hottechi,engaging,2016-11-20,2017-05-22,472.0
3typii47,kami_bicknell,gtx_plus_basic,goodsilron,won,2016-11-20,2017-03-03,1207.0
7wax8z8o,lajuana_vencill,mg_advanced,cancity,lost,2016-11-20,2017-03-08,0.0
mydumr3r,lajuana_vencill,gtx_basic,rangreen,won,2016-11-20,2017-03-04,559.0
0drc1u9q,maureen_marcano,gtx_basic,green-plus,engaging,2016-11-20,2017-05-22,472.0
37jfkd4i,niesha_huffines,gtx_plus_basic,dambase,won,2016-11-20,2017-03-09,1033.0
25ykphx8,donn_cantrell,gtx_basic,kan-code,won,2016-11-21,2017-03-21,462.0
bxxma7f3,hayden_neloms,mg_advanced,nam-zim,lost,2016-11-21,2017-03-01,0.0
giuutbxm,kary_hendrixson,gtxpro,y-corporation,won,2016-11-21,2017-03-14,5539.0
mfx2lr1q,lajuana_vencill,mg_advanced,ron-tech,won,2016-11-21,2017-03-15,3573.0
duhe9fly,marty_freudenburg,gtxpro,conecom,won,2016-11-21,2017-03-01,4926.0
